ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,2024-01-02,1715.0,1718.19,1678.1,1685.01,1726.0,-40.99,-2.3749,32156.44,5440082.548
600519.SH,2024-01-03,1681.11,1695.22,1676.33,1694.0,1685.01,8.99,0.5335,20229.29,3411400.667
600519.SH,2024-01-04,1693.0,1693.0,1662.93,1669.0,1694.0,-25.0,-1.4758,21551.07,3603970.147
600519.SH,2024-01-05,1661.33,1678.66,1652.11,1663.36,1669.0,-5.64,-0.3379,20242.86,3373155.627
600519.SH,2024-01-08,1661.0,1662.0,1640.01,1643.99,1663.36,-19.37,-1.1645,25586.2,4211918.629
600519.SH,2024-01-09,1641.01,1652.32,1635.07,1641.0,1643.99,-2.99,-0.1819,24412.04,4009826.496
600519.SH,2024-01-10,1641.1,1659.46,1638.0,1641.5,1641.0,0.5,0.0305,17350.67,2856120.718
600519.SH,2024-01-11,1640.1,1657.94,1638.06,1646.57,1641.5,5.07,0.3089,16440.55,2708764.5
600519.SH,2024-01-12,1639.97,1651.26,1639.4,1643.06,1646.57,-3.51,-0.2132,11603.24,1908084.612
600519.SH,2024-01-15,1635.0,1654.97,1634.45,1640.0,1643.06,-3.06,-0.1862,17854.03,2931202.343
600519.SH,2024-01-16,1638.5,1647.0,1624.94,1639.43,1640.0,-0.57,-0.0348,25903.14,4236042.96
600519.SH,2024-01-17,1630.0,1635.48,1577.0,1577.0,1639.43,-62.43,-3.808,51632.76,8251735.591
600519.SH,2024-01-18,1574.0,1612.8,1555.55,1610.87,1577.0,33.87,2.1477,60439.81,9566349.514
600519.SH,2024-01-19,1608.87,1638.01,1600.88,1635.0,1610.87,24.13,1.4979,46378.43,7550144.389
600519.SH,2024-01-22,1629.0,1643.0,1618.88,1642.0,1635.0,7.0,0.4281,46945.89,7678297.836
600519.SH,2024-01-23,1632.01,1639.95,1609.0,1619.0,1642.0,-23.0,-1.4007,34834.9,5659457.115
600519.SH,2024-01-24,1629.0,1633.84,1603.56,1626.0,1619.0,7.0,0.4324,33216.35,5373603.703
600519.SH,2024-01-25,1626.82,1641.0,1622.0,1638.0,1626.0,12.0,0.738,31205.8,5094508.165
600519.SH,2024-01-26,1630.36,1644.1,1623.0,1637.32,1638.0,-0.68,-0.0415,26954.75,4402111.882
