ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688169.SH,2025-07-09,155.15,155.15,149.48,150.0,153.95,-3.95,-2.5658,36492.15,551370.236
688169.SH,2025-07-10,150.0,151.02,148.2,148.78,150.0,-1.22,-0.8133,25070.28,373649.421
688169.SH,2025-07-11,148.86,151.36,148.02,148.61,148.78,-0.17,-0.1143,30780.1,460573.059
688169.SH,2025-07-14,151.28,166.47,151.28,162.89,148.61,14.28,9.609,90412.16,1447437.594
688169.SH,2025-07-15,162.15,164.5,161.11,163.7,162.89,0.81,0.4973,49351.06,806971.549
688169.SH,2025-07-16,163.69,165.8,160.7,161.22,163.7,-2.48,-1.515,31346.35,508996.262
688169.SH,2025-07-17,161.41,168.77,161.01,166.8,161.22,5.58,3.4611,45701.18,760435.227
688169.SH,2025-07-18,167.49,168.88,163.0,163.08,166.8,-3.72,-2.2302,28163.36,462829.835
688169.SH,2025-07-21,162.8,163.5,159.12,160.26,163.08,-2.82,-1.7292,26948.09,431678.633
688169.SH,2025-07-22,160.62,160.97,158.42,159.82,160.26,-0.44,-0.2746,26149.47,417046.058
688169.SH,2025-07-23,159.82,164.87,159.81,162.21,159.82,2.39,1.4954,35845.13,584354.554
688169.SH,2025-07-24,162.3,162.65,159.78,161.3,162.21,-0.91,-0.561,27605.92,443552.54
688169.SH,2025-07-25,160.9,167.49,160.66,166.0,161.3,4.7,2.9138,45634.48,748966.653
688169.SH,2025-07-28,166.37,172.5,166.01,168.92,166.0,2.92,1.759,50135.79,852872.092
688169.SH,2025-07-29,168.75,181.88,168.1,179.87,168.92,10.95,6.4824,66997.9,1180856.324
688169.SH,2025-07-30,177.53,179.6,175.7,176.8,179.87,-3.07,-1.7068,32293.0,573518.837
688169.SH,2025-07-31,175.96,179.79,172.6,173.36,176.8,-3.44,-1.9457,37654.2,661022.669
688169.SH,2025-08-01,173.8,176.97,170.52,172.4,173.36,-0.96,-0.5538,26597.47,460056.716
688169.SH,2025-08-04,171.13,180.0,170.72,178.27,172.4,5.87,3.4049,40384.66,716968.078
688169.SH,2025-08-05,178.35,185.0,178.27,179.1,178.27,0.83,0.4656,37357.23,675325.941
688169.SH,2025-08-06,179.35,180.6,177.11,178.46,179.1,-0.64,-0.3573,26395.42,470840.043
688169.SH,2025-08-07,179.0,179.97,176.17,177.26,178.46,-1.2,-0.6724,24620.26,437520.852
688169.SH,2025-08-08,178.28,179.24,176.64,177.02,177.26,-0.24,-0.1354,20129.26,358080.859
688169.SH,2025-08-11,178.5,179.9,175.59,178.1,177.02,1.08,0.6101,21166.02,376700.113
688169.SH,2025-08-12,178.0,187.78,177.08,181.38,178.1,3.28,1.8417,48971.63,901510.77
688169.SH,2025-08-13,181.81,184.38,178.1,179.34,181.38,-2.04,-1.1247,38348.24,693997.238
688169.SH,2025-08-14,178.36,179.34,175.0,175.86,179.34,-3.48,-1.9404,39024.29,690270.578
688169.SH,2025-08-15,176.48,183.6,176.48,182.95,175.86,7.09,4.0316,48843.55,880979.502
688169.SH,2025-08-18,197.58,211.5,194.21,209.04,182.95,26.09,14.2607,116607.22,2387591.664
688169.SH,2025-08-19,208.0,208.21,200.88,206.7,209.04,-2.34,-1.1194,66622.16,1368600.259
688169.SH,2025-08-20,204.3,207.7,200.6,204.1,206.7,-2.6,-1.2579,47493.2,966281.407
688169.SH,2025-08-21,204.39,210.67,203.68,207.48,204.1,3.38,1.6561,51588.54,1072576.115
688169.SH,2025-08-22,206.53,214.41,204.17,212.39,207.48,4.91,2.3665,75046.48,1565058.558
688169.SH,2025-08-25,215.0,218.42,208.5,211.78,212.39,-0.61,-0.2872,62415.75,1335460.045
688169.SH,2025-08-26,212.68,214.99,207.74,208.5,211.78,-3.28,-1.5488,42985.66,905024.575
688169.SH,2025-08-27,208.81,222.1,208.0,212.36,208.5,3.86,1.8513,69192.51,1507207.113
688169.SH,2025-08-28,213.0,217.75,205.5,211.15,212.36,-1.21,-0.5698,61190.27,1289738.805
688169.SH,2025-08-29,211.0,217.49,210.02,214.89,211.15,3.74,1.7713,42513.35,909992.579
688169.SH,2025-09-01,213.9,219.8,209.3,212.0,214.89,-2.89,-1.3449,49882.62,1064454.63
688169.SH,2025-09-02,210.0,213.87,205.12,207.89,212.0,-4.11,-1.9387,39270.19,820135.231
688169.SH,2025-09-03,208.95,215.0,206.03,208.96,207.89,1.07,0.5147,32022.43,673178.041
688169.SH,2025-09-04,208.23,208.23,196.02,202.9,208.96,-6.06,-2.9001,59492.58,1198804.184
688169.SH,2025-09-05,205.0,210.88,202.53,210.0,202.9,7.1,3.4993,42272.85,873784.215
688169.SH,2025-09-08,209.7,213.88,207.45,208.81,210.0,-1.19,-0.5667,46080.42,967667.686
688169.SH,2025-09-09,209.44,212.0,205.03,206.28,208.81,-2.53,-1.2116,28933.82,601071.433
688169.SH,2025-09-10,206.16,207.88,204.13,206.1,206.28,-0.18,-0.0873,23458.87,482793.032
688169.SH,2025-09-11,205.78,206.5,197.51,201.5,206.1,-4.6,-2.2319,56371.99,1130400.553
688169.SH,2025-09-12,202.41,204.66,197.0,197.0,201.5,-4.5,-2.2333,47728.36,956775.698
688169.SH,2025-09-15,198.68,206.49,195.17,202.68,197.0,5.68,2.8832,44317.74,891363.376
688169.SH,2025-09-16,202.9,205.02,200.5,204.14,202.68,1.46,0.7203,39038.96,790974.427
688169.SH,2025-09-17,206.0,219.53,205.5,218.0,204.14,13.86,6.7895,59099.18,1270565.701
688169.SH,2025-09-18,217.83,219.09,209.51,212.43,218.0,-5.57,-2.555,51271.46,1103656.743
688169.SH,2025-09-19,212.43,216.0,210.5,211.49,212.43,-0.94,-0.4425,28747.85,613230.739
688169.SH,2025-09-22,208.96,210.5,195.0,200.22,211.49,-11.27,-5.3289,77283.06,1541900.84
688169.SH,2025-09-23,200.64,203.0,196.1,200.35,200.22,0.13,0.0649,42313.48,841806.636
688169.SH,2025-09-24,198.66,204.17,198.01,201.2,200.35,0.85,0.4243,39056.32,788853.792
688169.SH,2025-09-25,202.44,214.9,201.04,210.25,201.2,9.05,4.498,48019.25,1007617.52
688169.SH,2025-09-26,209.27,211.34,207.43,208.61,210.25,-1.64,-0.78,30809.19,645157.981
688169.SH,2025-09-29,208.65,212.4,205.83,209.23,208.61,0.62,0.2972,34838.23,726481.663
688169.SH,2025-09-30,208.19,211.8,207.31,209.78,209.23,0.55,0.2629,27514.56,576286.87
688169.SH,2025-10-09,210.23,212.0,199.86,202.8,209.78,-6.98,-3.3273,50791.81,1031007.205
688169.SH,2025-10-10,202.75,205.8,197.02,197.79,202.8,-5.01,-2.4704,43664.39,881191.377
688169.SH,2025-10-13,191.0,192.0,183.1,187.5,197.79,-10.29,-5.2025,60860.52,1138272.954
688169.SH,2025-10-14,190.06,191.15,183.02,183.59,187.5,-3.91,-2.0853,47916.08,888980.424
688169.SH,2025-10-15,183.16,185.98,180.79,184.38,183.59,0.79,0.4303,34386.04,630402.12
688169.SH,2025-10-16,184.0,185.53,178.31,179.0,184.38,-5.38,-2.9179,40912.72,739054.745
688169.SH,2025-10-17,179.07,180.5,172.56,173.0,179.0,-6.0,-3.352,35962.36,632111.526
688169.SH,2025-10-20,175.0,180.92,174.58,176.3,173.0,3.3,1.9075,37246.83,660757.102
688169.SH,2025-10-21,177.54,182.99,176.0,179.08,176.3,2.78,1.5769,39524.63,710175.765
688169.SH,2025-10-22,178.88,184.55,177.52,183.36,179.08,4.28,2.39,35603.23,651686.066
688169.SH,2025-10-23,183.57,184.64,180.13,183.8,183.36,0.44,0.24,31304.71,573461.055
688169.SH,2025-10-24,184.92,187.77,183.0,186.4,183.8,2.6,1.4146,32107.22,596143.006
688169.SH,2025-10-27,188.98,191.5,183.5,185.01,186.4,-1.39,-0.7457,32450.75,605479.149
688169.SH,2025-10-28,185.55,187.0,184.02,185.45,185.01,0.44,0.2378,22822.37,423151.739
688169.SH,2025-10-29,185.24,189.2,181.86,188.35,185.45,2.9,1.5638,27112.97,502429.826
688169.SH,2025-10-30,188.6,190.53,184.8,185.77,188.35,-2.58,-1.3698,25676.39,480473.336
688169.SH,2025-10-31,172.0,172.0,158.32,163.4,185.77,-22.37,-12.0418,119048.34,1937467.556
688169.SH,2025-11-03,163.38,164.21,154.11,156.97,163.4,-6.43,-3.9351,88147.91,1379078.893
688169.SH,2025-11-04,156.75,157.3,153.7,155.0,156.97,-1.97,-1.255,38993.84,605030.701
688169.SH,2025-11-05,153.01,159.49,153.01,156.5,155.0,1.5,0.9677,34031.47,535024.626
688169.SH,2025-11-06,157.01,159.15,155.71,158.25,156.5,1.75,1.1182,30745.44,484643.603
688169.SH,2025-11-07,158.05,158.99,153.8,154.49,158.25,-3.76,-2.376,37049.23,577438.035
688169.SH,2025-11-10,154.5,157.64,153.0,157.26,154.49,2.77,1.793,39119.29,609170.201
688169.SH,2025-11-11,157.26,159.8,154.33,158.67,157.26,1.41,0.8966,40381.32,636170.585
688169.SH,2025-11-12,158.5,160.99,157.61,159.15,158.67,0.48,0.3025,32317.45,515247.165
688169.SH,2025-11-13,159.45,165.31,159.45,161.81,159.15,2.66,1.6714,32676.94,532595.349
688169.SH,2025-11-14,161.83,164.86,161.17,163.42,161.81,1.61,0.995,25834.61,422935.429
688169.SH,2025-11-17,162.1,163.1,156.49,159.51,163.42,-3.91,-2.3926,32358.58,513564.738
688169.SH,2025-11-18,158.0,159.51,156.89,158.44,159.51,-1.07,-0.6708,24933.59,393736.914
688169.SH,2025-11-19,158.18,159.6,157.02,158.93,158.44,0.49,0.3093,21006.73,331997.452
688169.SH,2025-11-20,158.89,162.2,158.56,160.73,158.93,1.8,1.1326,20723.54,333041.768
688169.SH,2025-11-21,160.44,162.0,158.22,159.2,160.73,-1.53,-0.9519,26895.36,431008.79
688169.SH,2025-11-24,160.22,160.76,154.06,155.61,159.2,-3.59,-2.255,26973.5,420915.774
688169.SH,2025-11-25,156.6,157.99,154.32,156.22,155.61,0.61,0.392,20512.75,321564.581
