ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000858.SZ,2025-11-12,120.79,122.5,120.35,120.38,120.78,-0.4,-0.3312,222544.39,2700551.157
000858.SZ,2025-11-13,120.0,121.27,119.63,121.2,120.38,0.82,0.6812,160022.93,1928439.961
000858.SZ,2025-11-14,120.68,121.99,120.19,120.21,121.2,-0.99,-0.8168,139243.65,1683294.872
000858.SZ,2025-11-17,120.02,120.53,119.01,120.15,120.21,-0.06,-0.0499,117387.78,1406740.312
000858.SZ,2025-11-18,120.0,121.75,119.76,120.36,120.15,0.21,0.1748,147668.67,1784778.982
000858.SZ,2025-11-19,120.32,120.49,119.7,119.89,120.36,-0.47,-0.3905,95149.62,1142098.879
000858.SZ,2025-11-20,119.88,121.64,119.6,120.25,119.89,0.36,0.3003,158258.45,1909518.433
000858.SZ,2025-11-21,120.11,121.41,119.41,119.68,120.25,-0.57,-0.474,205071.64,2468277.644
000858.SZ,2025-11-24,119.75,120.46,118.5,118.52,119.68,-1.16,-0.9693,173010.96,2066246.186
000858.SZ,2025-11-25,118.52,118.91,117.83,118.51,118.52,-0.01,-0.0084,146608.88,1735233.69
000858.SZ,2025-11-26,118.52,119.29,118.0,118.26,118.51,-0.25,-0.211,91697.59,1085069.921
000858.SZ,2025-11-27,118.3,118.49,117.7,117.94,118.26,-0.32,-0.2706,92156.51,1087246.956
000858.SZ,2025-11-28,117.9,117.94,117.35,117.85,117.94,-0.09,-0.0763,80296.19,945107.391
000858.SZ,2025-12-01,117.8,118.62,117.1,117.65,117.85,-0.2,-0.1697,120912.01,1422932.7
000858.SZ,2025-12-02,117.6,117.77,116.5,116.57,117.65,-1.08,-0.918,124928.41,1461213.467
000858.SZ,2025-12-03,116.72,117.05,115.5,115.6,116.57,-0.97,-0.8321,165871.0,1923087.546
